,0_deg,60_deg,90_deg,180_deg,240_deg,labels
0,0.43905071042968036,0.24714522410213627,0.25880271609370475,0.2802298087569544,0.10195840942326075,R
1,0.068865317074003,0.018924022122304658,0.5582163220212327,0.29064322203718457,0.28027742227558433,R
2,0.19877020802889675,0.05401332211374388,0.0917731212645312,0.1407728552670588,0.22572898384073312,R
3,0.646063695044349,0.41574727769030456,0.5802027092056798,0.9486025317849824,0.8378101350908327,M
4,0.5504120018287484,0.9840883036286072,0.5130818607268338,0.9948986139340426,0.6118368458674848,M
5,0.7394350360942453,0.6713161627387669,0.7070908335117048,0.9622159304370435,0.816704495912041,M
6,0.5631265816622866,0.633789483510363,0.42604215894530834,0.5008048509232578,0.9051456319898699,M
7,0.10133462004854349,0.21468787886032958,0.06345075736350217,0.21339603277567054,0.1848350241942425,R
8,0.9369555918723338,0.9053961373750461,0.7001410498079821,0.8798982943495404,0.6447005339730209,M
9,0.9442050098636368,0.763809882672364,0.5081988140570094,0.9023353847710252,0.9207786942714036,M
10,0.05656415040722622,0.30003101116484215,0.4292175565691373,0.0686468014991637,0.3625933687297085,R
11,0.753134434345277,0.82083635946117,0.41908936380718204,0.5197530011890572,0.611413836235334,M
12,0.7163098666860364,0.7651535591981324,0.8629398186911672,0.983068907242264,0.9167818252458919,M
13,0.45513087797317275,0.6077635893991915,0.8482095295957985,0.5927180737404754,0.7286849242680196,M
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
40,,,,,,
41,0.46580017324419204,0.022432365683035384,0.5430815666342117,0.09354764812898134,0.1958214922033007,R
42,0.5093240840413281,0.10100466698329107,0.23847134750191837,0.5698121223281093,0.11937071442481176,R
43,0.42385526124329487,0.3106720656392858,0.11635831163566263,0.4546880402589289,0.48216782873635095,R
44,0.09679413997731919,0.5006749146432564,0.17035194339186902,0.14106401331672214,0.012668769574873812,R
45,0.14084353549503392,0.45319907443223506,0.18749154782165994,0.30433655432730156,0.4122342496985972,R
46,0.9070028401514805,0.7158537128676882,0.5503968370584676,0.6159503377952982,0.695918980735623,M
47,0.1451197932200378,0.47962158996291493,0.4226904824977789,0.06085933756244095,0.3044237556748699,R
48,0.42259110179684956,0.5877989485697852,0.9087975228782201,0.8065215867831483,0.6109794770779544,M
49,0.6246255647541257,0.45436670119700895,0.6521335705322819,0.6375295865093489,0.501606230878849,M
50,0.4675021357921015,0.5103200968341587,0.2563076555869304,0.4216746896365503,0.5563200983379456,R
51,0.26833382245850845,0.26233655089699165,0.052158256876300754,0.5126921220809088,0.1283927172994437,R
52,0.24774692814169572,0.481705616091616,0.03011361000919619,0.39175608862583083,0.3158972143665647,R
53,0.4515808883649665,0.27152808321496813,0.44108780403200754,0.18169675709738106,0.28657818492518383,R
54,0.9051989020571505,0.9435827378542181,0.7234023871107593,0.9953547452392233,0.9200582528108361,M
55,0.661198173062351,0.8199493195565764,0.48105727492667505,0.6855123957729512,0.700877568286395,M
56,0.8818194448560963,0.6407577732527152,0.8541506498675735,0.8951076219253054,0.6287091015387497,M
